event,frame,time_stamp,level,video_id
goomba killed,11015,03:03,1-2,2
jump,11102,03:05,1-2,2
jump,11162,03:06,1-2,2
jump,11222,03:07,1-2,2
jump,11282,03:08,1-2,2
jump,11347,03:09,1-2,2
jump,11464,03:11,1-2,2
jump,11527,03:12,1-2,2
jump,11587,03:13,1-2,2
jump,11647,03:14,1-2,2
jump,11771,03:16,1-2,2
jump,11838,03:17,1-2,2
jump,11898,03:18,1-2,2
jump,11984,03:19,1-2,2
jump,12044,03:20,1-2,2
jump,12171,03:22,1-2,2
goomba killed,12182,03:23,1-2,2
jump,12386,03:26,1-2,2
jump,12536,03:28,1-2,2
jump,12597,03:29,1-2,2
jump,12754,03:32,1-2,2
goomba killed,12761,03:32,1-2,2
jump,12814,03:33,1-2,2
jump,12937,03:35,1-2,2
jump,12997,03:36,1-2,2
jump,13106,03:38,1-2,2
jump,13166,03:39,1-2,2
jump,13834,03:50,1-2,2
jump,13894,03:51,1-2,2
jump,14538,04:02,1-2,2
jump,14601,04:03,1-2,2
jump,14661,04:04,1-2,2
goomba killed,14684,04:04,1-2,2
jump,14914,04:08,1-2,2
jump,15010,04:10,1-2,2
jump,15070,04:11,1-2,2
jump,15165,04:12,1-2,2
jump,16647,04:37,1-2,2
jump,16754,04:39,1-2,2
jump,16864,04:41,1-2,2
jump,17143,04:45,1-1,2
jump,17398,04:49,1-1,2
jump,17530,04:52,1-1,2
jump,17590,04:53,1-1,2
coinblock hit,17612,04:53,1-1,2
jump,17697,04:54,1-1,2
mushroom,17759,04:55,1-1,2
jump,17768,04:56,1-1,2
jump,17831,04:57,1-1,2
jump,17988,04:59,1-1,2
jump,18102,05:01,1-1,2
jump,18182,05:03,1-1,2
jump,18242,05:04,1-1,2
jump,18316,05:05,1-1,2
jump,18486,05:08,1-1,2
jump,18602,05:10,1-1,2
fire flower,18643,05:10,1-1,2
jump,18673,05:11,1-1,2
jump,18797,05:13,1-1,2
jump,18857,05:14,1-1,2
goomba killed,18896,05:14,1-1,2
jump,19000,05:16,1-1,2
jump,19060,05:17,1-1,2
coinblock hit,19070,05:17,1-1,2
jump,19273,05:21,1-1,2
goomba killed,19321,05:22,1-1,2
jump,19333,05:22,1-1,2
jump,19404,05:23,1-1,2
coinblock hit,19415,05:23,1-1,2
jump,19503,05:25,1-1,2
jump,19564,05:26,1-1,2
jump,19624,05:27,1-1,2
jump,19694,05:28,1-1,2
jump,19761,05:29,1-1,2
jump,19821,05:30,1-1,2
jump,19915,05:31,1-1,2
jump,19975,05:32,1-1,2
jump,20049,05:34,1-1,2
jump,20152,05:35,1-1,2
jump,20212,05:36,1-1,2
jump,20278,05:37,1-1,2
jump,20340,05:39,1-1,2
jump,20400,05:40,1-1,2
jump,20468,05:41,1-1,2
jump,20529,05:42,1-1,2
jump,20589,05:43,1-1,2
jump,22034,06:07,1-2,2
jump,22101,06:08,1-2,2
jump,22252,06:10,1-2,2
jump,22315,06:11,1-2,2
jump,22376,06:12,1-2,2
jump,22436,06:13,1-2,2
jump,22504,06:15,1-2,2
jump,22565,06:16,1-2,2
jump,22641,06:17,1-2,2
jump,23465,06:31,1-2,2
coinblock hit,23539,06:32,1-2,2
jump,23551,06:32,1-2,2
jump,23616,06:33,1-2,2
jump,23677,06:34,1-2,2
jump,23740,06:35,1-2,2
jump,23800,06:36,1-2,2
jump,24026,06:40,1-2,2
jump,24415,06:46,1-2,2
jump,24514,06:48,1-2,2
jump,24574,06:49,1-2,2
goomba killed,24605,06:50,1-2,2
jump,24800,06:53,1-2,2
goomba killed,24826,06:53,1-2,2
jump,25086,06:58,1-2,2
goomba killed,25107,06:58,1-2,2
jump,25200,07:00,1-2,2
goomba killed,25221,07:00,1-2,2
coinblock hit,25227,07:00,1-2,2
jump,25328,07:02,1-2,2
jump,25502,07:05,1-2,2
jump,25597,07:06,1-2,2
jump,25657,07:07,1-2,2
jump,25718,07:08,1-2,2
jump,25809,07:10,1-2,2
jump,25869,07:11,1-2,2
jump,26027,07:13,1-2,2
goomba killed,26033,07:13,1-2,2
jump,26094,07:14,1-2,2
jump,26250,07:17,1-2,2
jump,26311,07:18,1-2,2
jump,26383,07:19,1-2,2
jump,26443,07:20,1-2,2
jump,26505,07:21,1-2,2
jump,26781,07:26,1-2,2
jump,26841,07:27,1-2,2
jump,26901,07:28,1-2,2
jump,26962,07:29,1-2,2
jump,27998,07:46,1-3,2
jump,28060,07:47,1-3,2
jump,28176,07:49,1-3,2
coinblock hit,28264,07:51,1-3,2
coinblock hit,28321,07:52,1-3,2
jump,28376,07:52,1-3,2
coinblock hit,28378,07:52,1-3,2
jump,28452,07:54,1-3,2
goomba killed,28497,07:54,1-3,2
jump,28576,07:56,1-3,2
jump,28652,07:57,1-3,2
jump,28712,07:58,1-3,2
jump,28772,07:59,1-3,2
jump,29019,08:03,1-3,2
jump,29157,08:05,1-3,2
mushroom,29221,08:07,1-3,2
jump,29379,08:09,1-3,2
jump,29439,08:10,1-3,2
jump,29502,08:11,1-3,2
goomba killed,29543,08:12,1-3,2
jump,29594,08:13,1-3,2
jump,30215,08:23,1-3,2
jump,30310,08:25,1-3,2
jump,30370,08:26,1-3,2
jump,30455,08:27,1-3,2
jump,30627,08:30,1-3,2
coinblock hit,30678,08:31,1-3,2
jump,30706,08:31,1-3,2
jump,30774,08:32,1-3,2
jump,30834,08:33,1-3,2
jump,30894,08:34,1-3,2
jump,30965,08:36,1-3,2
jump,31035,08:37,1-3,2
jump,31267,08:41,1-3,2
jump,31327,08:42,1-3,2
jump,31389,08:43,1-3,2
jump,31449,08:44,1-3,2
jump,31509,08:45,1-3,2
jump,32489,09:01,1-4,2
jump,32621,09:03,1-4,2
jump,32700,09:05,1-4,2
jump,32760,09:06,1-4,2
jump,33383,09:16,1-4,2
jump,33444,09:17,1-4,2
jump,33504,09:18,1-4,2
jump,754,00:12,1-1,3
jump,820,00:13,1-1,3
jump,907,00:15,1-1,3
jump,1086,00:18,1-1,3
jump,1545,00:25,1-1,3
jump,1605,00:26,1-1,3
jump,1704,00:28,1-1,3
jump,1845,00:30,1-1,3
jump,1905,00:31,1-1,3
jump,1968,00:32,1-1,3
jump,2071,00:34,1-1,3
coinblock hit,2079,00:34,1-1,3
jump,2150,00:35,1-1,3
jump,2227,00:37,1-1,3
mushroom,2238,00:37,1-1,3
coinblock hit,2242,00:37,1-1,3
jump,2406,00:40,1-1,3
jump,2498,00:41,1-1,3
jump,2558,00:42,1-1,3
coinblock hit,2560,00:42,1-1,3
jump,2619,00:43,1-1,3
jump,2778,00:46,1-1,3
jump,2839,00:47,1-1,3
jump,2899,00:48,1-1,3
jump,2959,00:49,1-1,3
jump,3088,00:51,1-1,3
jump,3214,00:53,1-1,3
jump,3393,00:56,1-1,3
jump,3490,00:58,1-1,3
goomba killed,3497,00:58,1-1,3
jump,3550,00:59,1-1,3
goomba killed,3557,00:59,1-1,3
goomba killed,3617,01:00,1-1,3
jump,3618,01:00,1-1,3
jump,3678,01:01,1-1,3
mushroom,3745,01:02,1-1,3
jump,4002,01:06,1-1,3
jump,4070,01:07,1-1,3
jump,4196,01:09,1-1,3
jump,4354,01:12,1-1,3
coinblock hit,4364,01:12,1-1,3
jump,4414,01:13,1-1,3
jump,4474,01:14,1-1,3
jump,4534,01:15,1-1,3
coinblock hit,4565,01:16,1-1,3
jump,4622,01:17,1-1,3
coinblock hit,4633,01:17,1-1,3
jump,4682,01:18,1-1,3
jump,4788,01:19,1-1,3
fire flower,4868,01:21,1-1,3
jump,4898,01:21,1-1,3
jump,4991,01:23,1-1,3
jump,5051,01:24,1-1,3
jump,5111,01:25,1-1,3
jump,5172,01:26,1-1,3
jump,5232,01:27,1-1,3
jump,5301,01:28,1-1,3
jump,5361,01:29,1-1,3
jump,5478,01:31,1-1,3
jump,5538,01:32,1-1,3
jump,5598,01:33,1-1,3
fire flower,5768,01:36,1-1,3
jump,5830,01:37,1-1,3
jump,5890,01:38,1-1,3
jump,5950,01:39,1-1,3
jump,6010,01:40,1-1,3
jump,6106,01:41,1-1,3
jump,6344,01:45,1-1,3
jump,6610,01:50,1-1,3
jump,6670,01:51,1-1,3
jump,6811,01:53,1-1,3
goomba killed,6913,01:55,1-1,3
jump,7049,01:57,1-1,3
jump,7109,01:58,1-1,3
jump,7235,02:00,1-1,3
coinblock hit,7243,02:00,1-1,3
coinblock hit,7290,02:01,1-1,3
jump,7333,02:02,1-1,3
jump,7398,02:03,1-1,3
jump,7458,02:04,1-1,3
jump,7573,02:06,1-1,3
jump,7633,02:07,1-1,3
jump,7693,02:08,1-1,3
jump,7781,02:09,1-1,3
goomba killed,7989,02:13,1-1,3
goomba killed,8049,02:14,1-1,3
jump,8115,02:15,1-1,3
coinblock hit,8126,02:15,1-1,3
jump,8175,02:16,1-1,3
jump,8236,02:17,1-1,3
jump,8316,02:18,1-1,3
jump,8376,02:19,1-1,3
jump,8650,02:24,1-1,3
jump,8820,02:27,1-1,3
jump,9326,02:35,1-2,3
goomba killed,9820,02:43,1-2,3
jump,9925,02:45,1-2,3
coinblock hit,9959,02:45,1-2,3
fire flower,9993,02:46,1-2,3
jump,9999,02:46,1-2,3
coinblock hit,10007,02:46,1-2,3
coinblock hit,10056,02:47,1-2,3
jump,10059,02:47,1-2,3
coinblock hit,10103,02:48,1-2,3
jump,10120,02:48,1-2,3
jump,10194,02:49,1-2,3
jump,10257,02:50,1-2,3
jump,10317,02:51,1-2,3
jump,10377,02:52,1-2,3
jump,10517,02:55,1-2,3
koopa killed,10577,02:56,1-2,3
koopa killed,10643,02:57,1-2,3
jump,10825,03:00,1-2,3
koopa killed,10918,03:01,1-2,3
goomba killed,10947,03:02,1-2,3
jump,10966,03:02,1-2,3
jump,11026,03:03,1-2,3
koopa killed,11030,03:03,1-2,3
jump,11087,03:04,1-2,3
goomba killed,11212,03:06,1-2,3
jump,11257,03:07,1-2,3
jump,11319,03:08,1-2,3
koopa killed,11390,03:09,1-2,3
jump,11578,03:12,1-2,3
jump,11647,03:14,1-2,3
jump,11716,03:15,1-2,3
jump,11797,03:16,1-2,3
jump,11857,03:17,1-2,3
jump,11918,03:18,1-2,3
jump,11978,03:19,1-2,3
jump,12046,03:20,1-2,3
jump,12115,03:21,1-2,3
jump,12284,03:24,1-2,3
jump,12344,03:25,1-2,3
jump,12434,03:27,1-2,3
jump,12508,03:28,1-2,3
jump,12568,03:29,1-2,3
jump,12628,03:30,1-2,3
jump,12688,03:31,1-2,3
jump,12759,03:32,1-2,3
jump,12819,03:33,1-2,3
jump,12883,03:34,1-2,3
jump,12956,03:35,1-2,3
jump,13022,03:37,1-2,3
jump,13082,03:38,1-2,3
jump,13193,03:39,1-2,3
jump,13850,03:50,1-2,3
jump,14088,03:54,1-2,3
jump,14148,03:55,1-2,3
jump,14208,03:56,1-2,3
jump,14286,03:58,1-2,3
jump,14346,03:59,1-2,3
jump,14472,04:01,1-2,3
jump,14541,04:02,1-2,3
jump,14601,04:03,1-2,3
jump,14713,04:05,1-2,3
jump,14773,04:06,1-2,3
jump,14833,04:07,1-2,3
jump,14912,04:08,1-2,3
jump,14974,04:09,1-2,3
jump,16173,04:29,1-1,3
jump,16402,04:33,1-1,3
jump,16472,04:34,1-1,3
coinblock hit,16482,04:34,1-1,3
jump,16558,04:35,1-1,3
coinblock hit,16606,04:36,1-1,3
mushroom,16649,04:37,1-1,3
jump,16671,04:37,1-1,3
jump,16810,04:40,1-1,3
jump,16897,04:41,1-1,3
coinblock hit,16903,04:41,1-1,3
jump,16957,04:42,1-1,3
jump,17062,04:44,1-1,3
jump,17124,04:45,1-1,3
jump,17184,04:46,1-1,3
jump,17253,04:47,1-1,3
jump,17313,04:48,1-1,3
jump,17373,04:49,1-1,3
jump,17503,04:51,1-1,3
jump,17563,04:52,1-1,3
jump,17623,04:53,1-1,3
jump,17683,04:54,1-1,3
jump,17743,04:55,1-1,3
jump,17805,04:56,1-1,3
jump,17865,04:57,1-1,3
jump,17925,04:58,1-1,3
jump,17985,04:59,1-1,3
mushroom,18077,05:01,1-1,3
jump,18158,05:02,1-1,3
jump,18274,05:04,1-1,3
jump,18344,05:05,1-1,3
fire flower,18388,05:06,1-1,3
jump,18406,05:06,1-1,3
jump,18549,05:09,1-1,3
goomba killed,18757,05:12,1-1,3
jump,18826,05:13,1-1,3
jump,18886,05:14,1-1,3
jump,18947,05:15,1-1,3
jump,19010,05:16,1-1,3
coinblock hit,19035,05:17,1-1,3
jump,19081,05:18,1-1,3
goomba killed,19209,05:20,1-1,3
goomba killed,19269,05:21,1-1,3
jump,19371,05:22,1-1,3
jump,19431,05:23,1-1,3
coinblock hit,19437,05:23,1-1,3
jump,19491,05:24,1-1,3
coinblock hit,19495,05:24,1-1,3
jump,19559,05:25,1-1,3
jump,19619,05:26,1-1,3
jump,19679,05:27,1-1,3
jump,19775,05:29,1-1,3
jump,19843,05:30,1-1,3
jump,19920,05:32,1-1,3
jump,19980,05:33,1-1,3
fire flower,20016,05:33,1-1,3
jump,20125,05:35,1-1,3
goomba killed,20224,05:37,1-1,3
goomba killed,20284,05:38,1-1,3
jump,20376,05:39,1-1,3
coinblock hit,20426,05:40,1-1,3
jump,20436,05:40,1-1,3
jump,20504,05:41,1-1,3
coinblock hit,20552,05:42,1-1,3
jump,20642,05:44,1-1,3
jump,20702,05:45,1-1,3
jump,20779,05:46,1-1,3
jump,20897,05:48,1-1,3
jump,20957,05:49,1-1,3
jump,21017,05:50,1-1,3
jump,21077,05:51,1-1,3
jump,21137,05:52,1-1,3
jump,21251,05:54,1-1,3
goomba killed,21339,05:55,1-1,3
jump,21385,05:56,1-1,3
coinblock hit,21395,05:56,1-1,3
jump,21447,05:57,1-1,3
jump,21507,05:58,1-1,3
jump,21567,05:59,1-1,3
jump,21627,06:00,1-1,3
jump,21689,06:01,1-1,3
jump,21769,06:02,1-1,3
jump,21829,06:03,1-1,3
jump,22555,06:15,1-2,3
goomba killed,23037,06:23,1-2,3
