event,frame,level,video_id
jump,2048,1-1,7
jump,2108,1-1,7
jump,2183,1-1,7
jump,2243,1-1,7
jump,2303,1-1,7
jump,2373,1-1,7
jump,2518,1-1,7
jump,2578,1-1,7
jump,2638,1-1,7
jump,2698,1-1,7
jump,2758,1-1,7
jump,2818,1-1,7
jump,2880,1-1,7
jump,2940,1-1,7
goomba killed,3036,1-1,7
jump,3094,1-1,7
jump,3154,1-1,7
jump,3214,1-1,7
jump,3276,1-1,7
jump,3337,1-1,7
goomba killed,4918,1-2,7
koopa killed,4918,1-2,7
jump,4949,1-2,7
coinblock hit,4954,1-2,7
coinblock hit,5002,1-2,7
jump,5013,1-2,7
jump,5073,1-2,7
jump,5149,1-2,7
jump,5209,1-2,7
koopa killed,5315,1-2,7
koopa killed,5473,1-2,7
goomba killed,5475,1-2,7
goomba killed,5586,1-2,7
jump,5656,1-2,7
koopa killed,5664,1-2,7
jump,5716,1-2,7
koopa killed,5724,1-2,7
jump,5796,1-2,7
koopa killed,5857,1-2,7
jump,5878,1-2,7
goomba killed,6026,1-2,7
jump,6068,1-2,7
koopa killed,6076,1-2,7
coinblock hit,6078,1-2,7
jump,6161,1-2,7
goomba killed,6188,1-2,7
jump,6266,1-2,7
jump,6448,1-2,7
jump,6602,1-2,7
jump,6732,1-2,7
jump,6828,1-2,7
jump,6898,1-2,7
jump,7394,1-2,7
jump,7454,1-2,7
jump,7742,1-2,7
jump,7802,1-2,7
jump,7870,1-2,7
jump,8800,1-3,7
jump,8916,1-3,7
jump,8993,1-3,7
jump,9053,1-3,7
jump,9113,1-3,7
goomba killed,9264,1-3,7
goomba killed,9332,1-3,7
jump,9370,1-3,7
goomba killed,9392,1-3,7
jump,9472,1-3,7
jump,9532,1-3,7
jump,9592,1-3,7
jump,9652,1-3,7
jump,9712,1-3,7
jump,9772,1-3,7
jump,10319,1-3,7
jump,10379,1-3,7
jump,10454,1-3,7
jump,10514,1-3,7
jump,10574,1-3,7
jump,10650,1-3,7
jump,10710,1-3,7
jump,11203,1-3,7
jump,11263,1-3,7
jump,11327,1-3,7
jump,11414,1-3,7
jump,11561,1-3,7
jump,11653,1-3,7
jump,11716,1-3,7
jump,11776,1-3,7
jump,11836,1-3,7
jump,11896,1-3,7
jump,11956,1-3,7
jump,12016,1-3,7
jump,12127,1-3,7
jump,12941,1-4,7
jump,13024,1-4,7
jump,13106,1-4,7
jump,13166,1-4,7
jump,13443,1-4,7
jump,13504,1-4,7
jump,13575,1-4,7
jump,13635,1-4,7
jump,13713,1-4,7
jump,13773,1-4,7
jump,13833,1-4,7
