event,frame,level,video_id
jump,5361,1-1,3
jump,5478,1-1,3
jump,5538,1-1,3
jump,5598,1-1,3
fire flower,5773,1-1,3
jump,5830,1-1,3
jump,5890,1-1,3
jump,5950,1-1,3
jump,6010,1-1,3
jump,6106,1-1,3
jump,6344,1-1,3
jump,6610,1-1,3
goomba killed,6661,1-1,3
jump,6670,1-1,3
jump,6811,1-1,3
goomba killed,6913,1-1,3
jump,7049,1-1,3
jump,7109,1-1,3
jump,7235,1-1,3
coinblock hit,7243,1-1,3
coinblock hit,7290,1-1,3
jump,7333,1-1,3
jump,7398,1-1,3
jump,7458,1-1,3
jump,7578,1-1,3
jump,7638,1-1,3
jump,7698,1-1,3
jump,7780,1-1,3
goomba killed,7989,1-1,3
goomba killed,8049,1-1,3
jump,8115,1-1,3
coinblock hit,8126,1-1,3
jump,8175,1-1,3
jump,8235,1-1,3
jump,8316,1-1,3
jump,8376,1-1,3
jump,8650,1-1,3
goomba killed,9816,1-2,3
jump,9925,1-2,3
coinblock hit,9959,1-2,3
fire flower,9964,1-2,3
jump,9999,1-2,3
coinblock hit,10007,1-2,3
coinblock hit,10056,1-2,3
jump,10059,1-2,3
coinblock hit,10103,1-2,3
jump,10120,1-2,3
jump,10194,1-2,3
jump,10254,1-2,3
jump,10314,1-2,3
jump,10374,1-2,3
jump,10434,1-2,3
jump,10517,1-2,3
koopa killed,10590,1-2,3
koopa killed,10660,1-2,3
jump,10825,1-2,3
goomba killed,10947,1-2,3
koopa killed,10953,1-2,3
jump,10966,1-2,3
jump,11026,1-2,3
koopa killed,11030,1-2,3
jump,11086,1-2,3
goomba killed,11212,1-2,3
jump,11257,1-2,3
jump,11319,1-2,3
koopa killed,11390,1-2,3
jump,11582,1-2,3
jump,11647,1-2,3
jump,11716,1-2,3
jump,11800,1-2,3
goomba killed,11835,1-2,3
jump,11860,1-2,3
jump,11922,1-2,3
jump,11982,1-2,3
jump,12046,1-2,3
jump,12115,1-2,3
jump,12284,1-2,3
jump,12344,1-2,3
jump,12434,1-2,3
jump,12508,1-2,3
jump,12569,1-2,3
jump,12629,1-2,3
jump,12689,1-2,3
goomba killed,12725,1-2,3
jump,12759,1-2,3
jump,12819,1-2,3
jump,12885,1-2,3
jump,12956,1-2,3
jump,13022,1-2,3
jump,13082,1-2,3
jump,13193,1-2,3
jump,13850,1-2,3
jump,14088,1-2,3
jump,14148,1-2,3
goomba killed,14193,1-2,3
jump,14210,1-2,3
jump,14286,1-2,3
jump,14346,1-2,3
jump,14472,1-2,3
jump,14541,1-2,3
jump,14601,1-2,3
jump,14713,1-2,3
jump,14773,1-2,3
jump,14833,1-2,3
jump,14912,1-2,3
jump,14972,1-2,3
jump,16176,1-1,3
jump,16402,1-1,3
goomba killed,16443,1-1,3
jump,16472,1-1,3
coinblock hit,16482,1-1,3
jump,16558,1-1,3
coinblock hit,16606,1-1,3
mushroom,16629,1-1,3
jump,16674,1-1,3
jump,16810,1-1,3
jump,16897,1-1,3
coinblock hit,16903,1-1,3
jump,16957,1-1,3
jump,17062,1-1,3
jump,17122,1-1,3
jump,17185,1-1,3
jump,17253,1-1,3
goomba killed,17300,1-1,3
jump,17313,1-1,3
jump,17373,1-1,3
jump,17503,1-1,3
jump,17563,1-1,3
jump,17623,1-1,3
jump,17684,1-1,3
jump,17744,1-1,3
jump,17805,1-1,3
jump,17866,1-1,3
jump,17926,1-1,3
jump,17986,1-1,3
mushroom,18045,1-1,3
jump,18158,1-1,3
jump,18274,1-1,3
jump,18344,1-1,3
fire flower,18386,1-1,3
jump,18404,1-1,3
jump,18549,1-1,3
goomba killed,18752,1-1,3
jump,18826,1-1,3
jump,18910,1-1,3
jump,18990,1-1,3
coinblock hit,19035,1-1,3
jump,19081,1-1,3
goomba killed,19209,1-1,3
goomba killed,19275,1-1,3
jump,19371,1-1,3
jump,19431,1-1,3
coinblock hit,19437,1-1,3
jump,19491,1-1,3
coinblock hit,19495,1-1,3
jump,19559,1-1,3
jump,19619,1-1,3
jump,19679,1-1,3
jump,19775,1-1,3
jump,19843,1-1,3
jump,19920,1-1,3
jump,19980,1-1,3
fire flower,20018,1-1,3
jump,20123,1-1,3
goomba killed,20224,1-1,3
goomba killed,20284,1-1,3
jump,20376,1-1,3
coinblock hit,20426,1-1,3
jump,20436,1-1,3
jump,20504,1-1,3
coinblock hit,20552,1-1,3
jump,20642,1-1,3
jump,20702,1-1,3
jump,20779,1-1,3
jump,20942,1-1,3
jump,21015,1-1,3
jump,21075,1-1,3
jump,21135,1-1,3
jump,21251,1-1,3
goomba killed,21339,1-1,3
jump,21385,1-1,3
coinblock hit,21395,1-1,3
jump,21445,1-1,3
jump,21505,1-1,3
jump,21565,1-1,3
jump,21625,1-1,3
jump,21689,1-1,3
jump,21767,1-1,3
jump,21827,1-1,3
goomba killed,23037,1-2,3
jump,23099,1-2,3
goomba killed,23103,1-2,3
coinblock hit,23140,1-2,3
fire flower,23146,1-2,3
jump,23167,1-2,3
coinblock hit,23188,1-2,3
jump,23241,1-2,3
coinblock hit,23284,1-2,3
jump,23330,1-2,3
jump,23398,1-2,3
jump,23498,1-2,3
jump,23584,1-2,3
jump,23644,1-2,3
jump,23704,1-2,3
coinblock hit,23744,1-2,3
jump,23775,1-2,3
jump,23835,1-2,3
jump,23895,1-2,3
jump,23957,1-2,3
jump,24017,1-2,3
jump,24077,1-2,3
jump,24178,1-2,3
koopa killed,24283,1-2,3
koopa killed,24371,1-2,3
jump,24392,1-2,3
coinblock hit,24399,1-2,3
jump,24454,1-2,3
jump,24581,1-2,3
jump,24641,1-2,3
koopa killed,24646,1-2,3
jump,24701,1-2,3
jump,24761,1-2,3
jump,24838,1-2,3
koopa killed,24847,1-2,3
koopa killed,25081,1-2,3
goomba killed,25257,1-2,3
goomba killed,25317,1-2,3
jump,25320,1-2,3
koopa killed,25329,1-2,3
jump,25380,1-2,3
koopa killed,25430,1-2,3
jump,25440,1-2,3
jump,25503,1-2,3
koopa killed,25516,1-2,3
jump,25563,1-2,3
jump,25681,1-2,3
koopa killed,25692,1-2,3
goomba killed,25846,1-2,3
goomba killed,25932,1-2,3
goomba killed,25998,1-2,3
jump,26061,1-2,3
jump,26147,1-2,3
jump,26258,1-2,3
koopa killed,26269,1-2,3
goomba killed,26297,1-2,3
goomba killed,26360,1-2,3
jump,26395,1-2,3
jump,26455,1-2,3
jump,26515,1-2,3
jump,26575,1-2,3
jump,26741,1-2,3
jump,26801,1-2,3
goomba killed,26946,1-2,3
goomba killed,27006,1-2,3
jump,27039,1-2,3
jump,27101,1-2,3
jump,27203,1-2,3
jump,27265,1-2,3
jump,27343,1-2,3
jump,27403,1-2,3
jump,27463,1-2,3
jump,27741,1-2,3
jump,27801,1-2,3
jump,27861,1-2,3
jump,27921,1-2,3
jump,27985,1-2,3
jump,29136,1-3,3
jump,29301,1-3,3
jump,29406,1-3,3
jump,29467,1-3,3
jump,29549,1-3,3
jump,29609,1-3,3
goomba killed,29747,1-3,3
goomba killed,29807,1-3,3
jump,29867,1-3,3
goomba killed,29867,1-3,3
jump,29948,1-3,3
jump,30051,1-3,3
jump,30111,1-3,3
jump,30183,1-3,3
jump,30247,1-3,3
jump,30313,1-3,3
jump,30861,1-3,3
jump,30985,1-3,3
jump,31080,1-3,3
jump,31182,1-3,3
jump,31413,1-3,3
goomba killed,31452,1-3,3
jump,31480,1-3,3
goomba killed,31516,1-3,3
jump,31549,1-3,3
jump,31620,1-3,3
jump,31688,1-3,3
jump,31785,1-3,3
jump,31845,1-3,3
jump,31914,1-3,3
jump,32053,1-3,3
jump,32113,1-3,3
mushroom,32118,1-3,3
jump,32289,1-3,3
jump,32349,1-3,3
jump,32548,1-3,3
jump,32667,1-3,3
jump,32790,1-3,3
jump,32850,1-3,3
jump,32910,1-3,3
jump,32979,1-3,3
jump,33046,1-3,3
jump,33164,1-3,3
jump,33224,1-3,3
jump,33785,1-3,3
jump,33905,1-3,3
jump,33965,1-3,3
jump,34059,1-3,3
jump,34262,1-3,3
jump,34322,1-3,3
jump,34972,1-3,3
jump,35040,1-3,3
jump,35102,1-3,3
jump,35214,1-3,3
jump,35313,1-3,3
jump,35373,1-3,3
jump,35445,1-3,3
jump,35505,1-3,3
jump,35749,1-3,3
jump,35809,1-3,3
jump,35946,1-3,3
jump,36006,1-3,3
jump,36066,1-3,3
jump,36126,1-3,3
jump,36324,1-3,3
jump,36384,1-3,3
jump,36452,1-3,3
jump,36524,1-3,3
jump,36584,1-3,3
jump,37656,1-4,3
jump,37791,1-4,3
jump,38015,1-4,3
jump,38089,1-4,3
jump,38853,1-4,3
jump,38914,1-4,3
jump,39083,1-4,3
jump,39143,1-4,3
jump,39203,1-4,3
jump,39265,1-4,3
jump,39488,1-4,3
jump,39580,1-4,3
jump,39664,1-4,3
jump,39750,1-4,3
jump,39843,1-4,3
jump,39956,1-4,3
jump,40016,1-4,3
jump,40097,1-4,3
jump,41192,1-1,3
jump,41331,1-1,3
coinblock hit,41345,1-1,3
jump,41391,1-1,3
goomba killed,41408,1-1,3
jump,41451,1-1,3
jump,41511,1-1,3
mushroom,41570,1-1,3
jump,41572,1-1,3
jump,41814,1-1,3
coinblock hit,41825,1-1,3
jump,41916,1-1,3
jump,41983,1-1,3
coinblock hit,41988,1-1,3
jump,42048,1-1,3
jump,42173,1-1,3
jump,42243,1-1,3
goomba killed,42325,1-1,3
jump,42372,1-1,3
jump,42432,1-1,3
jump,42583,1-1,3
jump,42680,1-1,3
goomba killed,42687,1-1,3
jump,42740,1-1,3
goomba killed,42747,1-1,3
fire flower,42775,1-1,3
jump,42800,1-1,3
jump,43254,1-1,3
jump,43373,1-1,3
jump,43499,1-1,3
goomba killed,43540,1-1,3
koopa killed,43672,1-1,3
jump,43723,1-1,3
jump,43790,1-1,3
jump,43855,1-1,3
coinblock hit,43860,1-1,3
jump,43915,1-1,3
jump,44043,1-1,3
coinblock hit,44052,1-1,3
goomba killed,44105,1-1,3
jump,44152,1-1,3
coinblock hit,44157,1-1,3
jump,44212,1-1,3
coinblock hit,44215,1-1,3
jump,44272,1-1,3
fire flower,44354,1-1,3
jump,44401,1-1,3
jump,44461,1-1,3
jump,44539,1-1,3
jump,44599,1-1,3
jump,44722,1-1,3
jump,44834,1-1,3
goomba killed,44836,1-1,3
jump,44915,1-1,3
jump,44975,1-1,3
jump,45035,1-1,3
jump,45145,1-1,3
goomba killed,45257,1-1,3
jump,45339,1-1,3
coinblock hit,45395,1-1,3
jump,45399,1-1,3
coinblock hit,45453,1-1,3
jump,45459,1-1,3
jump,45531,1-1,3
jump,45591,1-1,3
jump,45661,1-1,3
jump,45721,1-1,3
jump,45781,1-1,3
jump,45871,1-1,3
goomba killed,45986,1-1,3
jump,46028,1-1,3
coinblock hit,46038,1-1,3
jump,46125,1-1,3
jump,46185,1-1,3
jump,46245,1-1,3
jump,46305,1-1,3
jump,46365,1-1,3
goomba killed,47632,1-2,3
goomba killed,47692,1-2,3
jump,47739,1-2,3
fire flower,47784,1-2,3
jump,47799,1-2,3
coinblock hit,47808,1-2,3
jump,47859,1-2,3
coinblock hit,47866,1-2,3
coinblock hit,47906,1-2,3
jump,47922,1-2,3
coinblock hit,47953,1-2,3
jump,47985,1-2,3
jump,48111,1-2,3
jump,48171,1-2,3
jump,48231,1-2,3
jump,48346,1-2,3
jump,48416,1-2,3
jump,48476,1-2,3
jump,48536,1-2,3
jump,48778,1-2,3
koopa killed,48842,1-2,3
jump,48858,1-2,3
jump,48988,1-2,3
jump,49379,1-2,3
goomba killed,49415,1-2,3
jump,49545,1-2,3
jump,50070,1-2,3
jump,50283,1-2,3
jump,50344,1-2,3
mushroom,50354,1-2,3
coinblock hit,50401,1-2,3
jump,50404,1-2,3
jump,50596,1-2,3
coinblock hit,50603,1-2,3
coinblock hit,50643,1-2,3
jump,50656,1-2,3
coinblock hit,50691,1-2,3
jump,50735,1-2,3
jump,50795,1-2,3
jump,50857,1-2,3
jump,50928,1-2,3
jump,51031,1-2,3
jump,51217,1-2,3
koopa killed,51355,1-2,3
jump,51374,1-2,3
jump,51447,1-2,3
koopa killed,51466,1-2,3
jump,51507,1-2,3
jump,51567,1-2,3
koopa killed,51623,1-2,3
jump,51627,1-2,3
jump,51726,1-2,3
jump,51794,1-2,3
jump,52021,1-2,3
jump,52255,1-2,3
goomba killed,52335,1-2,3
jump,52376,1-2,3
koopa killed,52384,1-2,3
jump,52443,1-2,3
koopa killed,52462,1-2,3
jump,52503,1-2,3
jump,52563,1-2,3
jump,52637,1-2,3
koopa killed,52649,1-2,3
jump,52879,1-2,3
jump,52960,1-2,3
goomba killed,53002,1-2,3
jump,53046,1-2,3
jump,53108,1-2,3
jump,53168,1-2,3
koopa killed,53217,1-2,3
jump,53242,1-2,3
jump,53316,1-2,3
koopa killed,53318,1-2,3
jump,53376,1-2,3
jump,53523,1-2,3
jump,53589,1-2,3
jump,53658,1-2,3
jump,54432,1-2,3
jump,54492,1-2,3
jump,54555,1-2,3
jump,54742,1-2,3
jump,55361,1-2,3
jump,55421,1-2,3
jump,55481,1-2,3
jump,55541,1-2,3
jump,56476,1-3,3
jump,56545,1-3,3
jump,56650,1-3,3
jump,56871,1-3,3
goomba killed,56907,1-3,3
jump,56938,1-3,3
goomba killed,56980,1-3,3
jump,57022,1-3,3
jump,57105,1-3,3
jump,57211,1-3,3
jump,57271,1-3,3
jump,57331,1-3,3
jump,57423,1-3,3
jump,57522,1-3,3
jump,57582,1-3,3
jump,57649,1-3,3
fire flower,57684,1-3,3
jump,57733,1-3,3
jump,57888,1-3,3
jump,57948,1-3,3
jump,58083,1-3,3
koopa killed,58497,1-3,3
koopa killed,58557,1-3,3
jump,58610,1-3,3
jump,58701,1-3,3
jump,58846,1-3,3
jump,59134,1-3,3
jump,59214,1-3,3
jump,59328,1-3,3
jump,59388,1-3,3
jump,59503,1-3,3
jump,59579,1-3,3
jump,59656,1-3,3
jump,59882,1-3,3
jump,59942,1-3,3
jump,60002,1-3,3
jump,60069,1-3,3
jump,60143,1-3,3
jump,61070,1-4,3
jump,61397,1-4,3
jump,61458,1-4,3
mushroom,61527,1-4,3
jump,61530,1-4,3
jump,61590,1-4,3
jump,62446,1-4,3
jump,62793,1-4,3
jump,62855,1-4,3
jump,62923,1-4,3
mushroom,62925,1-4,3
jump,62992,1-4,3
jump,63074,1-4,3
jump,63836,1-4,3
jump,65032,1-1,3
jump,65195,1-1,3
coinblock hit,65211,1-1,3
jump,65255,1-1,3
goomba killed,65275,1-1,3
jump,65320,1-1,3
coinblock hit,65375,1-1,3
jump,65380,1-1,3
mushroom,65385,1-1,3
jump,65601,1-1,3
